stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Dominik\Desktop\AISD\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.16883] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16885] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16886] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16887] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16889] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16890] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16892] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16893] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16894] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16896] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16897] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16898] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.16900] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16901] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16903] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16905] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16906] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16907] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16909] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16910] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16911] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
